,action_taken,action_taken_name,agency_code,agency_abbr,agency_name,applicant_ethnicity,applicant_ethnicity_name,applicant_income_000s,applicant_race_1,applicant_race_2,applicant_race_3,applicant_race_4,applicant_race_5,applicant_race_name_1,applicant_race_name_2,applicant_race_name_3,applicant_race_name_4,applicant_race_name_5,applicant_sex,applicant_sex_name,application_date_indicator,as_of_year,census_tract_number,co_applicant_ethnicity,co_applicant_ethnicity_name,co_applicant_race_1,co_applicant_race_2,co_applicant_race_3,co_applicant_race_4,co_applicant_race_5,co_applicant_race_name_1,co_applicant_race_name_2,co_applicant_race_name_3,co_applicant_race_name_4,co_applicant_race_name_5,co_applicant_sex,co_applicant_sex_name,county_code,county_name,denial_reason_1,denial_reason_2,denial_reason_3,denial_reason_name_1,denial_reason_name_2,denial_reason_name_3,edit_status,edit_status_name,hoepa_status,hoepa_status_name,lien_status,lien_status_name,loan_purpose,loan_purpose_name,loan_type,loan_type_name,msamd,msamd_name,owner_occupancy,owner_occupancy_name,preapproval,preapproval_name,property_type,property_type_name,purchaser_type,purchaser_type_name,respondent_id,sequence_number,state_code,state_abbr,state_name,hud_median_family_income,loan_amount_000s,number_of_1_to_4_family_units,number_of_owner_occupied_units,minority_population,population,rate_spread,tract_to_msamd_income
0,1,Loan originated,7,HUD,Department of Housing and Urban Development,2,Not Hispanic or Latino,81.0,5,,,,,White,,,,,2,Female,0,2015,14.01,5,No co-applicant,8,,,,,No co-applicant,,,,,5,No co-applicant,21,Laramie County,,,,,,,,,2,Not a HOEPA loan,1,Secured by a first lien,3,Refinancing,1,Conventional,16940.0,Cheyenne - WY,2,Not owner-occupied as a principal dwelling,3,Not applicable,1,One-to-four family dwelling (other than manufactured housing),7,"Life insurance company, credit union, mortgage bank, or finance company",33-0975529,3711,56,WY,Wyoming,72000.0,125,1485.0,1140.0,17.770000457763672,3984.0,,115.58999633789062
1,1,Loan originated,2,FRS,Federal Reserve System,2,Not Hispanic or Latino,81.0,5,,,,,White,,,,,1,Male,0,2015,9580.0,2,Not Hispanic or Latino,5,,,,,White,,,,,2,Female,15,Goshen County,,,,,,,,,2,Not a HOEPA loan,1,Secured by a first lien,3,Refinancing,1,Conventional,,,1,Owner-occupied as a principal dwelling,3,Not applicable,1,One-to-four family dwelling (other than manufactured housing),7,"Life insurance company, credit union, mortgage bank, or finance company",0000580155,131,56,WY,Wyoming,71500.0,192,1423.0,794.0,13.0,3015.0,,74.0
2,1,Loan originated,2,FRS,Federal Reserve System,2,Not Hispanic or Latino,95.0,5,,,,,White,,,,,1,Male,0,2015,9402.01,5,No co-applicant,8,,,,,No co-applicant,,,,,5,No co-applicant,13,Fremont County,,,,,,,,,2,Not a HOEPA loan,1,Secured by a first lien,3,Refinancing,1,Conventional,,,1,Owner-occupied as a principal dwelling,3,Not applicable,1,One-to-four family dwelling (other than manufactured housing),0,Loan was not originated or was not sold in calendar year covered by register,0000659855,7971,56,WY,Wyoming,71500.0,184,1650.0,1400.0,12.510000228881836,3892.0,,101.8499984741211
3,1,Loan originated,7,HUD,Department of Housing and Urban Development,2,Not Hispanic or Latino,81.0,5,,,,,White,,,,,1,Male,0,2015,8.0,2,Not Hispanic or Latino,5,,,,,White,,,,,2,Female,21,Laramie County,,,,,,,,,2,Not a HOEPA loan,1,Secured by a first lien,1,Home purchase,2,FHA-insured,16940.0,Cheyenne - WY,1,Owner-occupied as a principal dwelling,3,Not applicable,1,One-to-four family dwelling (other than manufactured housing),9,Other type of purchaser,83-0171636,1071,56,WY,Wyoming,72000.0,243,839.0,618.0,16.020000457763672,1835.0,1.71,107.36000061035156
4,5,File closed for incompleteness,7,HUD,Department of Housing and Urban Development,2,Not Hispanic or Latino,78.0,5,,,,,White,,,,,1,Male,0,2015,,5,No co-applicant,8,,,,,No co-applicant,,,,,5,No co-applicant,5,Campbell County,,,,,,,,,2,Not a HOEPA loan,1,Secured by a first lien,1,Home purchase,1,Conventional,,,1,Owner-occupied as a principal dwelling,3,Not applicable,2,Manufactured housing,0,Loan was not originated or was not sold in calendar year covered by register,7162800002,16214,56,WY,Wyoming,,24,,,,,,
5,1,Loan originated,3,FDIC,Federal Deposit Insurance Corporation,2,Not Hispanic or Latino,122.0,5,,,,,White,,,,,1,Male,0,2015,9651.0,2,Not Hispanic or Latino,5,,,,,White,,,,,2,Female,29,Park County,,,,,,,,,2,Not a HOEPA loan,1,Secured by a first lien,1,Home purchase,1,Conventional,,,1,Owner-occupied as a principal dwelling,3,Not applicable,1,One-to-four family dwelling (other than manufactured housing),7,"Life insurance company, credit union, mortgage bank, or finance company",0000002232,627,56,WY,Wyoming,71500.0,314,1999.0,1586.0,8.260000228881836,4999.0,,99.43000030517578
6,1,Loan originated,1,OCC,Office of the Comptroller of the Currency,2,Not Hispanic or Latino,79.0,5,,,,,White,,,,,1,Male,0,2015,9636.0,2,Not Hispanic or Latino,5,,,,,White,,,,,2,Female,1,Albany County,,,,,,,,,2,Not a HOEPA loan,1,Secured by a first lien,1,Home purchase,1,Conventional,,,1,Owner-occupied as a principal dwelling,3,Not applicable,1,One-to-four family dwelling (other than manufactured housing),3,Freddie Mac (FHLMC),0000706809,8111,56,WY,Wyoming,71500.0,170,2122.0,998.0,11.609999656677244,4617.0,,107.80999755859376
7,1,Loan originated,9,CFPB,Consumer Financial Protection Bureau,3,"Information not provided by applicant in mail, Internet, or telephone application",26.0,6,,,,,"Information not provided by applicant in mail, Internet, or telephone application",,,,,3,"Information not provided by applicant in mail, Internet, or telephone application",0,2015,2.0,3,"Information not provided by applicant in mail, Internet, or telephone application",6,,,,,"Information not provided by applicant in mail, Internet, or telephone application",,,,,3,"Information not provided by applicant in mail, Internet, or telephone application",13,Fremont County,,,,,,,,,2,Not a HOEPA loan,1,Secured by a first lien,1,Home purchase,1,Conventional,,,2,Not owner-occupied as a principal dwelling,3,Not applicable,1,One-to-four family dwelling (other than manufactured housing),0,Loan was not originated or was not sold in calendar year covered by register,0000804963,5592,56,WY,Wyoming,71500.0,84,1468.0,1018.0,11.600000381469727,3595.0,,100.0999984741211
8,1,Loan originated,7,HUD,Department of Housing and Urban Development,2,Not Hispanic or Latino,52.0,5,,,,,White,,,,,1,Male,0,2015,5.01,5,No co-applicant,8,,,,,No co-applicant,,,,,5,No co-applicant,21,Laramie County,,,,,,,,,2,Not a HOEPA loan,1,Secured by a first lien,1,Home purchase,1,Conventional,16940.0,Cheyenne - WY,1,Owner-occupied as a principal dwelling,3,Not applicable,1,One-to-four family dwelling (other than manufactured housing),9,Other type of purchaser,83-0171636,1084,56,WY,Wyoming,72000.0,268,2919.0,2103.0,21.36000061035156,8164.0,,106.5199966430664
9,6,Loan purchased by the institution,7,HUD,Department of Housing and Urban Development,4,Not applicable,,7,,,,,Not applicable,,,,,4,Not applicable,2,2015,9678.0,4,Not applicable,7,,,,,Not applicable,,,,,4,Not applicable,7,Carbon County,,,,,,,,,2,Not a HOEPA loan,4,Not applicable,1,Home purchase,4,FSA/RHS-guaranteed,,,1,Owner-occupied as a principal dwelling,3,Not applicable,1,One-to-four family dwelling (other than manufactured housing),2,Ginnie Mae (GNMA),26-2049351,48469,56,WY,Wyoming,71500.0,158,1882.0,1253.0,27.649999618530273,4326.0,,112.5999984741211
