,action_taken,action_taken_name,agency_code,agency_abbr,agency_name,applicant_ethnicity,applicant_ethnicity_name,applicant_income_000s,applicant_race_1,applicant_race_2,applicant_race_3,applicant_race_4,applicant_race_5,applicant_race_name_1,applicant_race_name_2,applicant_race_name_3,applicant_race_name_4,applicant_race_name_5,applicant_sex,applicant_sex_name,application_date_indicator,as_of_year,census_tract_number,co_applicant_ethnicity,co_applicant_ethnicity_name,co_applicant_race_1,co_applicant_race_2,co_applicant_race_3,co_applicant_race_4,co_applicant_race_5,co_applicant_race_name_1,co_applicant_race_name_2,co_applicant_race_name_3,co_applicant_race_name_4,co_applicant_race_name_5,co_applicant_sex,co_applicant_sex_name,county_code,county_name,denial_reason_1,denial_reason_2,denial_reason_3,denial_reason_name_1,denial_reason_name_2,denial_reason_name_3,edit_status,edit_status_name,hoepa_status,hoepa_status_name,lien_status,lien_status_name,loan_purpose,loan_purpose_name,loan_type,loan_type_name,msamd,msamd_name,owner_occupancy,owner_occupancy_name,preapproval,preapproval_name,property_type,property_type_name,purchaser_type,purchaser_type_name,respondent_id,sequence_number,state_code,state_abbr,state_name,hud_median_family_income,loan_amount_000s,number_of_1_to_4_family_units,number_of_owner_occupied_units,minority_population,population,rate_spread,tract_to_msamd_income
0,1,Loan originated,9,CFPB,Consumer Financial Protection Bureau,2,Not Hispanic or Latino,61.0,5,,,,,White,,,,,2,Female,0,2015,102.01,5,No co-applicant,8,,,,,No co-applicant,,,,,5,No co-applicant,17.0,Cass County,,,,,,,6.0,Quality edit failure only,2,Not a HOEPA loan,1,Secured by a first lien,3,Refinancing,1,Conventional,22020.0,"Fargo - ND, MN",1,Owner-occupied as a principal dwelling,3,Not applicable,1,One-to-four family dwelling (other than manufactured housing),8,Affiliate institution,0000476810,83321,38,ND,North Dakota,76600.0,69,1949.0,1763.0,4.579999923706055,5433.0,,98.6999969482422
1,1,Loan originated,9,CFPB,Consumer Financial Protection Bureau,3,"Information not provided by applicant in mail, Internet, or telephone application",70.0,6,,,,,"Information not provided by applicant in mail, Internet, or telephone application",,,,,3,"Information not provided by applicant in mail, Internet, or telephone application",0,2015,9525.0,5,No co-applicant,8,,,,,No co-applicant,,,,,5,No co-applicant,9.0,Bottineau County,,,,,,,,,2,Not a HOEPA loan,1,Secured by a first lien,3,Refinancing,1,Conventional,,,1,Owner-occupied as a principal dwelling,3,Not applicable,1,One-to-four family dwelling (other than manufactured housing),0,Loan was not originated or was not sold in calendar year covered by register,0000504713,88884,38,ND,North Dakota,67500.0,70,1060.0,688.0,4.78000020980835,1861.0,,120.56999969482422
2,6,Loan purchased by the institution,7,HUD,Department of Housing and Urban Development,4,Not applicable,,7,,,,,Not applicable,,,,,4,Not applicable,2,2015,405.0,4,Not applicable,7,,,,,Not applicable,,,,,4,Not applicable,17.0,Cass County,,,,,,,,,2,Not a HOEPA loan,4,Not applicable,1,Home purchase,1,Conventional,22020.0,"Fargo - ND, MN",1,Owner-occupied as a principal dwelling,3,Not applicable,1,One-to-four family dwelling (other than manufactured housing),3,Freddie Mac (FHLMC),62-1532940,72656,38,ND,North Dakota,76600.0,181,5432.0,4781.0,6.630000114440918,23686.0,,120.06999969482422
3,1,Loan originated,7,HUD,Department of Housing and Urban Development,2,Not Hispanic or Latino,134.0,5,,,,,White,,,,,1,Male,0,2015,405.0,2,Not Hispanic or Latino,5,,,,,White,,,,,2,Female,17.0,Cass County,,,,,,,,,2,Not a HOEPA loan,1,Secured by a first lien,3,Refinancing,1,Conventional,22020.0,"Fargo - ND, MN",1,Owner-occupied as a principal dwelling,3,Not applicable,1,One-to-four family dwelling (other than manufactured housing),3,Freddie Mac (FHLMC),13-6131491,89208,38,ND,North Dakota,76600.0,339,5432.0,4781.0,6.630000114440918,23686.0,,120.06999969482422
4,1,Loan originated,3,FDIC,Federal Deposit Insurance Corporation,2,Not Hispanic or Latino,59.0,5,,,,,White,,,,,2,Female,0,2015,102.0,5,No co-applicant,8,,,,,No co-applicant,,,,,5,No co-applicant,15.0,Burleigh County,,,,,,,,,2,Not a HOEPA loan,1,Secured by a first lien,1,Home purchase,2,FHA-insured,13900.0,Bismarck - ND,1,Owner-occupied as a principal dwelling,2,Preapproval was not requested,1,One-to-four family dwelling (other than manufactured housing),9,Other type of purchaser,0000021928,121,38,ND,North Dakota,77000.0,182,2157.0,1112.0,11.75,5006.0,,64.33999633789061
5,1,Loan originated,3,FDIC,Federal Deposit Insurance Corporation,2,Not Hispanic or Latino,191.0,5,,,,,White,,,,,1,Male,0,2015,111.05,5,No co-applicant,8,,,,,No co-applicant,,,,,5,No co-applicant,15.0,Burleigh County,,,,,,,,,2,Not a HOEPA loan,1,Secured by a first lien,3,Refinancing,1,Conventional,13900.0,Bismarck - ND,2,Not owner-occupied as a principal dwelling,3,Not applicable,1,One-to-four family dwelling (other than manufactured housing),6,"Commercial bank, savings bank or savings association",0000021928,22,38,ND,North Dakota,77000.0,191,1049.0,929.0,3.2999999523162837,3480.0,,145.42999267578125
6,1,Loan originated,7,HUD,Department of Housing and Urban Development,2,Not Hispanic or Latino,58.0,5,,,,,White,,,,,1,Male,0,2015,9612.0,2,Not Hispanic or Latino,5,,,,,White,,,,,2,Female,65.0,Oliver County,,,,,,,,,2,Not a HOEPA loan,1,Secured by a first lien,3,Refinancing,3,VA-guaranteed,13900.0,Bismarck - ND,1,Owner-occupied as a principal dwelling,3,Not applicable,1,One-to-four family dwelling (other than manufactured housing),0,Loan was not originated or was not sold in calendar year covered by register,7197000003,470568,38,ND,North Dakota,77000.0,120,873.0,654.0,3.470000028610229,1846.0,,111.73999786376952
7,1,Loan originated,1,OCC,Office of the Comptroller of the Currency,1,Hispanic or Latino,49.0,5,,,,,White,,,,,1,Male,0,2015,9534.0,5,No co-applicant,8,,,,,No co-applicant,,,,,5,No co-applicant,105.0,Williams County,,,,,,,,,2,Not a HOEPA loan,1,Secured by a first lien,1,Home purchase,2,FHA-insured,,,1,Owner-occupied as a principal dwelling,3,Not applicable,1,One-to-four family dwelling (other than manufactured housing),0,Loan was not originated or was not sold in calendar year covered by register,0000021717,3023,38,ND,North Dakota,67500.0,77,950.0,678.0,3.7699999809265137,1934.0,1.58,114.12999725341795
8,3,Application denied by financial institution,5,NCUA,National Credit Union Administration,2,Not Hispanic or Latino,110.0,5,,,,,White,,,,,1,Male,0,2015,9559.0,5,No co-applicant,8,,,,,No co-applicant,,,,,5,No co-applicant,49.0,McHenry County,3.0,9.0,,Credit history,Other,,,,2,Not a HOEPA loan,3,Not secured by a lien,2,Home improvement,1,Conventional,,,1,Owner-occupied as a principal dwelling,3,Not applicable,1,One-to-four family dwelling (other than manufactured housing),0,Loan was not originated or was not sold in calendar year covered by register,0000000028,235,38,ND,North Dakota,67500.0,10,1491.0,1038.0,2.25,2883.0,,96.62000274658205
9,1,Loan originated,3,FDIC,Federal Deposit Insurance Corporation,2,Not Hispanic or Latino,98.0,5,,,,,White,,,,,1,Male,0,2015,202.0,5,No co-applicant,8,,,,,No co-applicant,,,,,5,No co-applicant,59.0,Morton County,,,,,,,,,2,Not a HOEPA loan,1,Secured by a first lien,3,Refinancing,1,Conventional,13900.0,Bismarck - ND,1,Owner-occupied as a principal dwelling,3,Not applicable,1,One-to-four family dwelling (other than manufactured housing),6,"Commercial bank, savings bank or savings association",0000021928,11,38,ND,North Dakota,77000.0,122,2568.0,2140.0,4.739999771118164,7105.0,,92.0999984741211
10,1,Loan originated,3,FDIC,Federal Deposit Insurance Corporation,2,Not Hispanic or Latino,228.0,5,,,,,White,,,,,1,Male,0,2015,9612.0,5,No co-applicant,8,,,,,No co-applicant,,,,,5,No co-applicant,65.0,Oliver County,,,,,,,,,2,Not a HOEPA loan,1,Secured by a first lien,1,Home purchase,1,Conventional,13900.0,Bismarck - ND,2,Not owner-occupied as a principal dwelling,2,Preapproval was not requested,1,One-to-four family dwelling (other than manufactured housing),0,Loan was not originated or was not sold in calendar year covered by register,0000021928,186,38,ND,North Dakota,77000.0,154,873.0,654.0,3.470000028610229,1846.0,,111.73999786376952
11,4,Application withdrawn by applicant,3,FDIC,Federal Deposit Insurance Corporation,2,Not Hispanic or Latino,75.0,5,,,,,White,,,,,1,Male,0,2015,105.0,2,Not Hispanic or Latino,5,,,,,White,,,,,2,Female,15.0,Burleigh County,,,,,,,,,2,Not a HOEPA loan,1,Secured by a first lien,3,Refinancing,1,Conventional,13900.0,Bismarck - ND,1,Owner-occupied as a principal dwelling,3,Not applicable,1,One-to-four family dwelling (other than manufactured housing),0,Loan was not originated or was not sold in calendar year covered by register,0000033758,1162,38,ND,North Dakota,77000.0,184,1476.0,1321.0,5.710000038146973,5022.0,,106.26000213623048
12,1,Loan originated,3,FDIC,Federal Deposit Insurance Corporation,2,Not Hispanic or Latino,25.0,5,,,,,White,,,,,2,Female,0,2015,8.02,5,No co-applicant,8,,,,,No co-applicant,,,,,5,No co-applicant,17.0,Cass County,,,,,,,,,2,Not a HOEPA loan,1,Secured by a first lien,1,Home purchase,1,Conventional,22020.0,"Fargo - ND, MN",1,Owner-occupied as a principal dwelling,3,Not applicable,1,One-to-four family dwelling (other than manufactured housing),9,Other type of purchaser,0000009123,96,38,ND,North Dakota,76600.0,106,1589.0,975.0,17.899999618530273,5167.0,,60.79999923706055
13,3,Application denied by financial institution,9,CFPB,Consumer Financial Protection Bureau,3,"Information not provided by applicant in mail, Internet, or telephone application",60.0,6,,,,,"Information not provided by applicant in mail, Internet, or telephone application",,,,,1,Male,0,2015,205.0,5,No co-applicant,8,,,,,No co-applicant,,,,,5,No co-applicant,59.0,Morton County,3.0,,,Credit history,,,,,2,Not a HOEPA loan,3,Not secured by a lien,2,Home improvement,1,Conventional,13900.0,Bismarck - ND,1,Owner-occupied as a principal dwelling,3,Not applicable,1,One-to-four family dwelling (other than manufactured housing),0,Loan was not originated or was not sold in calendar year covered by register,0000451965,1156033,38,ND,North Dakota,77000.0,45,1700.0,1264.0,3.0199999809265137,3643.0,,77.12000274658203
14,2,Application approved but not accepted,7,HUD,Department of Housing and Urban Development,1,Hispanic or Latino,31.0,6,,,,,"Information not provided by applicant in mail, Internet, or telephone application",,,,,2,Female,0,2015,112.0,5,No co-applicant,8,,,,,No co-applicant,,,,,5,No co-applicant,35.0,Grand Forks County,,,,,,,,,2,Not a HOEPA loan,1,Secured by a first lien,1,Home purchase,1,Conventional,24220.0,"Grand Forks - ND, MN",1,Owner-occupied as a principal dwelling,3,Not applicable,2,Manufactured housing,0,Loan was not originated or was not sold in calendar year covered by register,7162800002,23763,38,ND,North Dakota,74200.0,52,1850.0,1469.0,9.81999969482422,6231.0,,115.13999938964844
