,action_taken,action_taken_name,agency_code,agency_abbr,agency_name,applicant_ethnicity,applicant_ethnicity_name,applicant_income_000s,applicant_race_1,applicant_race_2,applicant_race_3,applicant_race_4,applicant_race_5,applicant_race_name_1,applicant_race_name_2,applicant_race_name_3,applicant_race_name_4,applicant_race_name_5,applicant_sex,applicant_sex_name,application_date_indicator,as_of_year,census_tract_number,co_applicant_ethnicity,co_applicant_ethnicity_name,co_applicant_race_1,co_applicant_race_2,co_applicant_race_3,co_applicant_race_4,co_applicant_race_5,co_applicant_race_name_1,co_applicant_race_name_2,co_applicant_race_name_3,co_applicant_race_name_4,co_applicant_race_name_5,co_applicant_sex,co_applicant_sex_name,county_code,county_name,denial_reason_1,denial_reason_2,denial_reason_3,denial_reason_name_1,denial_reason_name_2,denial_reason_name_3,edit_status,edit_status_name,hoepa_status,hoepa_status_name,lien_status,lien_status_name,loan_purpose,loan_purpose_name,loan_type,loan_type_name,msamd,msamd_name,owner_occupancy,owner_occupancy_name,preapproval,preapproval_name,property_type,property_type_name,purchaser_type,purchaser_type_name,respondent_id,sequence_number,state_code,state_abbr,state_name,hud_median_family_income,loan_amount_000s,number_of_1_to_4_family_units,number_of_owner_occupied_units,minority_population,population,rate_spread,tract_to_msamd_income
0,4,Application withdrawn by applicant,7,HUD,Department of Housing and Urban Development,2,Not Hispanic or Latino,25.0,5,,,,,White,,,,,1,Male,0,2015,8.0,2,Not Hispanic or Latino,5,,,,,White,,,,,2,Female,93.0,Silver Bow County,,,,,,,,,2,Not a HOEPA loan,1,Secured by a first lien,3,Refinancing,1,Conventional,,,1,Owner-occupied as a principal dwelling,3,Not applicable,1,One-to-four family dwelling (other than manufactured housing),0,Loan was not originated or was not sold in calendar year covered by register,75-2921540,122146,30,MT,Montana,60000.0,235,2367.0,1760.0,5.130000114440918,5554.0,,116.83999633789062
1,1,Loan originated,7,HUD,Department of Housing and Urban Development,2,Not Hispanic or Latino,46.0,5,,,,,White,,,,,2,Female,0,2015,13.03,5,No co-applicant,8,,,,,No co-applicant,,,,,5,No co-applicant,63.0,Missoula County,,,,,,,,,2,Not a HOEPA loan,1,Secured by a first lien,1,Home purchase,2,FHA-insured,33540.0,Missoula - MT,1,Owner-occupied as a principal dwelling,2,Preapproval was not requested,1,One-to-four family dwelling (other than manufactured housing),2,Ginnie Mae (GNMA),0471809999,62594,30,MT,Montana,69800.0,233,1833.0,1352.0,8.949999809265137,4850.0,,95.1500015258789
2,1,Loan originated,3,FDIC,Federal Deposit Insurance Corporation,2,Not Hispanic or Latino,154.0,5,,,,,White,,,,,1,Male,0,2015,2.0,5,No co-applicant,8,,,,,No co-applicant,,,,,5,No co-applicant,7.0,Broadwater County,,,,,,,,,2,Not a HOEPA loan,1,Secured by a first lien,3,Refinancing,1,Conventional,,,2,Not owner-occupied as a principal dwelling,3,Not applicable,1,One-to-four family dwelling (other than manufactured housing),1,Fannie Mae (FNMA),0000015219,6384,30,MT,Montana,60000.0,75,1281.0,869.0,4.869999885559082,3535.0,,87.55999755859375
3,1,Loan originated,9,CFPB,Consumer Financial Protection Bureau,2,Not Hispanic or Latino,128.0,5,,,,,White,,,,,1,Male,0,2015,19.0,2,Not Hispanic or Latino,5,,,,,White,,,,,2,Female,13.0,Cascade County,,,,,,,,,2,Not a HOEPA loan,1,Secured by a first lien,3,Refinancing,1,Conventional,24500.0,Great Falls - MT,1,Owner-occupied as a principal dwelling,3,Not applicable,1,One-to-four family dwelling (other than manufactured housing),1,Fannie Mae (FNMA),0000451965,155002,30,MT,Montana,61600.0,233,2064.0,1849.0,7.179999828338622,5749.0,,125.38999938964844
4,1,Loan originated,9,CFPB,Consumer Financial Protection Bureau,2,Not Hispanic or Latino,97.0,5,,,,,White,,,,,1,Male,0,2015,6.01,2,Not Hispanic or Latino,5,,,,,White,,,,,2,Female,29.0,Flathead County,,,,,,,,,2,Not a HOEPA loan,1,Secured by a first lien,3,Refinancing,1,Conventional,,,1,Owner-occupied as a principal dwelling,3,Not applicable,1,One-to-four family dwelling (other than manufactured housing),3,Freddie Mac (FHLMC),45-3449011,12074,30,MT,Montana,60000.0,357,1620.0,1367.0,4.860000133514403,4096.0,,141.0399932861328
5,1,Loan originated,9,CFPB,Consumer Financial Protection Bureau,2,Not Hispanic or Latino,57.0,5,,,,,White,,,,,1,Male,0,2015,11.0,5,No co-applicant,8,,,,,No co-applicant,,,,,5,No co-applicant,49.0,Lewis and Clark County,,,,,,,,,2,Not a HOEPA loan,1,Secured by a first lien,1,Home purchase,1,Conventional,,,1,Owner-occupied as a principal dwelling,3,Not applicable,1,One-to-four family dwelling (other than manufactured housing),1,Fannie Mae (FNMA),0000451965,318786,30,MT,Montana,60000.0,223,1912.0,1181.0,6.920000076293945,5548.0,,148.39999389648438
6,3,Application denied by financial institution,7,HUD,Department of Housing and Urban Development,2,Not Hispanic or Latino,25.0,5,,,,,White,,,,,1,Male,0,2015,9770.0,5,No co-applicant,8,,,,,No co-applicant,,,,,5,No co-applicant,73.0,Pondera County,,,,,,,,,2,Not a HOEPA loan,1,Secured by a first lien,3,Refinancing,3,VA-guaranteed,,,1,Owner-occupied as a principal dwelling,3,Not applicable,1,One-to-four family dwelling (other than manufactured housing),0,Loan was not originated or was not sold in calendar year covered by register,26-4599244,315994,30,MT,Montana,60000.0,145,1664.0,1157.0,5.440000057220459,3769.0,,95.7699966430664
7,1,Loan originated,3,FDIC,Federal Deposit Insurance Corporation,2,Not Hispanic or Latino,110.0,5,,,,,White,,,,,2,Female,0,2015,4.0,1,Hispanic or Latino,5,,,,,White,,,,,1,Male,23.0,Deer Lodge County,,,,,,,6.0,Quality edit failure only,2,Not a HOEPA loan,1,Secured by a first lien,1,Home purchase,1,Conventional,,,1,Owner-occupied as a principal dwelling,3,Not applicable,2,Manufactured housing,0,Loan was not originated or was not sold in calendar year covered by register,0000004009,1243,30,MT,Montana,60000.0,240,1706.0,1277.0,5.440000057220459,3160.0,,109.19000244140624
8,1,Loan originated,9,CFPB,Consumer Financial Protection Bureau,2,Not Hispanic or Latino,25.0,5,,,,,White,,,,,2,Female,0,2015,14.0,5,No co-applicant,8,,,,,No co-applicant,,,,,5,No co-applicant,63.0,Missoula County,,,,,,,,,2,Not a HOEPA loan,1,Secured by a first lien,3,Refinancing,1,Conventional,33540.0,Missoula - MT,1,Owner-occupied as a principal dwelling,3,Not applicable,1,One-to-four family dwelling (other than manufactured housing),1,Fannie Mae (FNMA),0000451965,155138,30,MT,Montana,69800.0,80,2833.0,2029.0,6.460000038146973,6750.0,,95.77999877929688
9,1,Loan originated,1,OCC,Office of the Comptroller of the Currency,2,Not Hispanic or Latino,57.0,5,,,,,White,,,,,1,Male,0,2015,2.03,5,No co-applicant,8,,,,,No co-applicant,,,,,5,No co-applicant,29.0,Flathead County,,,,,,,,,2,Not a HOEPA loan,1,Secured by a first lien,3,Refinancing,2,FHA-insured,,,1,Owner-occupied as a principal dwelling,3,Not applicable,1,One-to-four family dwelling (other than manufactured housing),7,"Life insurance company, credit union, mortgage bank, or finance company",0000021717,3442,30,MT,Montana,60000.0,209,1492.0,1084.0,6.9000000953674325,4261.0,,93.87000274658205
